Country/economies,Vaccine developer,Manufacturer,Vaccine name,Price per dose,Source
Senegal,Beijing Institute of Biological Products (CNBG),Beijing Institute of Biological Products (CNBG),BBIBP-CorV,18.6,https://www.reuters.com/article/health-coronavirus-senegal-vaccine/senegal-pays-37-mln-for-200000-doses-of-chinas-sinopharm-vaccine-idUSL8N2KI4AU
South Africa,AstraZeneca,Serum Institute of India,Covishield,5.25,https://www.reuters.com/article/health-coronavirus-safrica-vaccines/update-3-south-africa-to-pay-525-a-dose-for-astrazeneca-vaccine-from-indias-sii-idUSL1N2JW0KI
Sri Lanka,AstraZeneca,Serum Institute of India,Covishield,5.25,https://www.livemint.com/news/india/sri-lanka-to-procure-10mn-doses-of-astrazeneca-covid-vaccine-from-india-official-11613730946366.html;http://www.dailymirror.lk/breaking_news/First-consignment-of-COVAX-vaccine-to-arrive-on-Sunday/108-206943
Thailand,Sinovac,Sinovac,Coronavac,9.5,https://newsinfo.inquirer.net/1384867/sinovac-jabs-varying-prices-raise-alarm
Thailand private market,Sinovac,Sinovac,Coronavac,32.52,https://www.reuters.com/article/health-coronavirus-thailand-vaccine/thai-business-group-says-sinovac-shots-ordered-for-private-vaccination-scheme-idUSL4N2LG1BD
Tunisia,Pfizer/BioNTech,Pfizer/BioNTech,Comirnaty,7,https://www.forbesmiddleeast.com/industry/healthcare/tunisia-to-get-2m-doses-of-covid-vaccine-from-pfizer
Ukraine,Sinovac,Sinovac,Coronavac,18,https://www.reuters.com/article/health-coronavirus-ukraine-probe/update-1-minister-says-absolutely-calm-as-ukraine-probes-covid-19-vaccine-deal-idUSL1N2KG1RD
USA,AstraZeneca,AstraZeneca,Vaxzevria,4,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
USA,Janssen Pharmaceuticals,Janssen,Ad26.COV 2.S,10,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
USA,Moderna,Moderna,mRNA-1273,15,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
USA,Pfizer/BioNTech,Pfizer/BioNTech,Comirnaty,19.5,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
USA,Sanofi/GSK,Sanofi/GSK,SARS-CoV-2 subunit vaccine,10.5,https://www.washingtonpost.com/world/eu-coronavirus-vaccines-cheaper-than-united-states/2020/12/18/06677e34-4139-11eb-b58b-1623f6267960_story.html
Viet Nam,Nanogen,Nanogen,Nano Covax,5.19,https://ncov.moh.gov.vn/en/-/6847426-603
West Bank and Gaza,AstraZeneca,Serum Institute of India,Covishield,5,https://www.aljazeera.com/news/2021/1/13/how-will-palestinians-get-the-covid-vaccine
